;comorb;code;final_odds_ratio_2_5_alz;final_p_value_2_5_alz;final_odds_ratio_5_10_alz;final_p_value_5_10_alz;final_odds_ratio_10_15_alz;final_p_value_10_15_alz;;n_5_10_FR;n_5_10_FR_cont
29;LIPID MODIFYING AGENTS;['C10'];1.29 (1.2,1.38);<0.001 (<0.001);1.35 (1.2,1.51);<0.001 (<0.001);1.27 (0.99,1.62);0.061 (5.732);;1469 (45.02%);730 (38.04%)
30;ANTIFUNGALS FOR DERMATOLOGICAL USE;['D01'];1.06 (0.97,1.15);0.203 (19.103);1.1 (0.96,1.27);0.182 (17.112);1.13 (0.84,1.52);0.407 (38.233);;701 (21.48%);381 (19.85%)
31;EMOLLIENTS AND PROTECTIVES;['D02'];1.11 (1.02,1.22);0.023 (2.144);1.17 (1.0,1.36);0.047 (4.453);1.03 (0.75,1.43);0.841 (79.08);;564 (17.28%);291 (15.16%)
32;PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS;['D03'];1.63 (1.28,2.07);<0.001 (0.006);1.57 (1.1,2.23);0.013 (1.176);1.05 (0.56,1.98);0.876 (82.358);;116 (3.56%);44 (2.29%)
33;ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.;['D04'];1.17 (0.81,1.7);0.4 (37.559);2.96 (1.38,6.34);0.005 (0.486);<0.001 (<0.001,<0.001);<0.001 (<0.001);;40 (1.23%);8 (0.42%)
34;ANTIPSORIATICS;['D05'];1.13 (0.82,1.57);0.458 (43.061);1.16 (0.67,2.02);0.604 (56.739);<0.001 (<0.001,<0.001);<0.001 (<0.001);;38 (1.16%);19 (0.99%)
35;ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE;['D06'];1.04 (0.94,1.14);0.482 (45.324);1.2 (1.03,1.41);0.023 (2.205);1.04 (0.75,1.43);0.829 (77.933);;540 (16.55%);271 (14.12%)
36;CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS;['D07'];0.93 (0.86,1.01);0.095 (8.952);1.13 (0.99,1.28);0.069 (6.492);0.89 (0.68,1.17);0.406 (38.181);;893 (27.37%);480 (25.01%)
37;ANTISEPTICS AND DISINFECTANTS;['D08'];1.07 (0.99,1.16);0.101 (9.53);1.21 (1.05,1.39);0.01 (0.959);0.95 (0.71,1.27);0.713 (67.002);;696 (21.33%);352 (18.34%)
38;MEDICATED DRESSINGS;['D09'];1.39 (0.88,2.21);0.163 (15.311);1.7 (0.8,3.64);0.17 (15.939);<0.001 (<0.001,<0.001);<0.001 (<0.001);;26 (0.8%);9 (0.47%)
39;ANTI-ACNE PREPARATIONS;['D10'];0.69 (0.47,1.01);0.058 (5.453);1.44 (0.8,2.58);0.224 (21.056);<0.001 (<0.001,<0.001);<0.001 (<0.001);;40 (1.23%);16 (0.83%)
40;OTHER DERMATOLOGICAL PREPARATIONS;['D11'];1.49 (1.21,1.85);<0.001 (0.022);1.42 (1.09,1.86);0.01 (0.956);1.18 (0.76,1.84);0.466 (43.771);;189 (5.79%);79 (4.12%)
41;GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;['G01'];0.93 (0.78,1.13);0.475 (44.622);1.11 (0.84,1.46);0.451 (42.415);1.31 (0.77,2.24);0.322 (30.223);;157 (4.81%);82 (4.27%)
42;OTHER GYNECOLOGICALS;['G02'];1.74 (1.25,2.42);0.001 (0.1);1.56 (1.06,2.31);0.024 (2.284);1.57 (0.84,2.94);0.16 (15.049);;97 (2.97%);36 (1.88%)
43;SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;['G03'];1.17 (1.05,1.3);0.005 (0.432);1.26 (1.08,1.48);0.004 (0.363);1.41 (1.04,1.91);0.027 (2.563);;569 (17.44%);272 (14.17%)
44;UROLOGICALS;['G04'];1.32 (1.16,1.51);<0.001 (0.005);1.33 (1.01,1.74);0.041 (3.883);1.5 (0.78,2.88);0.229 (21.511);;174 (5.33%);79 (4.12%)
45;PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES;['H01'];0.83 (0.37,1.88);0.658 (61.828);<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);;6 (0.18%);3 (0.16%)
46;CORTICOSTEROIDS FOR SYSTEMIC USE;['H02'];0.86 (0.8,0.93);<0.001 (0.026);1.05 (0.92,1.2);0.451 (42.399);0.98 (0.74,1.29);0.886 (83.302);;809 (24.79%);457 (23.81%)
47;THYROID THERAPY;['H03'];1.07 (0.96,1.18);0.216 (20.292);0.9 (0.76,1.07);0.241 (22.634);0.81 (0.56,1.18);0.279 (26.271);;373 (11.43%);240 (12.51%)
48;PANCREATIC HORMONES;['H04'];1.44 (0.64,3.24);0.372 (35.007);<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);;2 (0.06%);2 (0.1%)
49;CALCIUM HOMEOSTASIS;['H05'];1.17 (0.83,1.64);0.37 (34.742);1.61 (0.96,2.7);0.071 (6.657);2.39 (0.82,6.97);0.112 (10.525);;54 (1.65%);20 (1.04%)
50;ANTIBACTERIALS FOR SYSTEMIC USE;['J01'];1.03 (0.96,1.1);0.439 (41.233);1.21 (1.08,1.36);0.001 (0.086);1.09 (0.85,1.39);0.508 (47.732);;1971 (60.4%);1067 (55.6%)
51;ANTIMYCOTICS FOR SYSTEMIC USE;['J02'];1.43 (1.14,1.8);0.002 (0.2);1.67 (1.15,2.45);0.008 (0.733);1.72 (0.79,3.78);0.174 (16.331);;104 (3.19%);37 (1.93%)
52;ANTIMYCOBACTERIALS;['J04'];<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);;5 (0.15%);1 (0.05%)
53;ANTIVIRALS FOR SYSTEMIC USE;['J05'];1.0 (0.84,1.19);0.989 (92.994);1.33 (1.0,1.75);0.047 (4.383);1.18 (0.67,2.08);0.567 (53.277);;168 (5.15%);75 (3.91%)
54;IMMUNE SERA AND IMMUNOGLOBULINS;['J06'];2.44 (0.89,6.66);0.082 (7.738);<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);;6 (0.18%);3 (0.16%)
55;VACCINES;['J07'];0.97 (0.89,1.05);0.476 (44.743);1.06 (0.9,1.25);0.462 (43.396);1.3 (0.92,1.83);0.133 (12.502);;492 (15.08%);273 (14.23%)
56;ANTINEOPLASTIC AGENTS;['L01'];0.92 (0.56,1.5);0.731 (68.701);<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);;10 (0.31%);8 (0.42%)
57;ENDOCRINE THERAPY;['L02'];0.92 (0.71,1.2);0.561 (52.711);1.22 (0.78,1.89);0.38 (35.675);<0.001 (<0.001,<0.001);<0.001 (<0.001);;62 (1.9%);30 (1.56%)
58;IMMUNOSTIMULANTS;['L03'];<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);;1 (0.03%);0 (0.0%)
59;IMMUNOSUPPRESSANTS;['L04'];0.71 (0.42,1.2);0.204 (19.215);<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);;9 (0.28%);8 (0.42%)
60;ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;['M01'];1.15 (1.08,1.23);<0.001 (0.004);1.23 (1.09,1.37);<0.001 (0.046);1.37 (1.07,1.76);0.012 (1.163);;1947 (59.67%);1047 (54.56%)
61;TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN;['M02'];1.23 (1.15,1.31);<0.001 (<0.001);1.26 (1.13,1.42);<0.001 (0.005);1.1 (0.87,1.4);0.423 (39.785);;1647 (50.48%);856 (44.61%)
62;MUSCLE RELAXANTS;['M03'];1.22 (1.11,1.34);<0.001 (0.006);1.27 (1.1,1.46);0.001 (0.073);1.22 (0.93,1.6);0.15 (14.131);;784 (24.03%);380 (19.8%)
63;ANTIGOUT PREPARATIONS;['M04'];0.85 (0.73,0.98);0.024 (2.284);0.8 (0.62,1.03);0.082 (7.673);0.59 (0.35,0.98);0.041 (3.831);;147 (4.51%);108 (5.63%)
64;DRUGS FOR TREATMENT OF BONE DISEASES;['M05'];1.28 (1.16,1.41);<0.001 (<0.001);1.16 (0.99,1.35);0.063 (5.906);0.97 (0.68,1.38);0.871 (81.882);;575 (17.62%);303 (15.79%)
65;OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM;['M09'];1.19 (1.04,1.35);0.012 (1.134);1.31 (1.08,1.6);0.007 (0.644);0.87 (0.59,1.28);0.476 (44.783);;344 (10.54%);159 (8.29%)
66;ANESTHETICS;['N01'];0.89 (0.76,1.05);0.167 (15.739);0.94 (0.66,1.32);0.708 (66.561);2.43 (0.93,6.36);0.069 (6.492);;86 (2.64%);54 (2.81%)
67;ANALGESICS;['N02'];1.3 (1.21,1.4);<0.001 (<0.001);1.29 (1.14,1.47);<0.001 (0.01);1.34 (1.01,1.78);0.046 (4.307);;2534 (77.66%);1398 (72.85%)
68;ANTIEPILEPTICS;['N03'];1.12 (0.99,1.26);0.071 (6.629);1.13 (0.93,1.38);0.213 (19.981);0.91 (0.61,1.35);0.624 (58.696);;315 (9.65%);165 (8.6%)
69;ANTI-PARKINSON DRUGS;['N04'];2.76 (2.29,3.33);<0.001 (<0.001);1.89 (1.28,2.77);0.001 (0.114);0.55 (0.24,1.26);0.158 (14.866);;110 (3.37%);35 (1.82%)
70;PSYCHOLEPTICS;['N05'];1.61 (1.5,1.72);<0.001 (<0.001);1.35 (1.2,1.51);<0.001 (<0.001);1.28 (1.01,1.63);0.044 (4.091);;1695 (51.95%);854 (44.5%)
71;PSYCHOANALEPTICS;['N06'];4.38 (4.07,4.71);<0.001 (<0.001);1.68 (1.49,1.9);<0.001 (<0.001);1.35 (1.04,1.76);0.024 (2.292);;1286 (39.41%);536 (27.93%)
72;OTHER NERVOUS SYSTEM DRUGS;['N07'];1.22 (1.1,1.34);<0.001 (0.009);1.12 (0.95,1.32);0.181 (16.982);1.26 (0.88,1.8);0.208 (19.597);;459 (14.07%);245 (12.77%)
73;ANTIPROTOZOALS;['P01'];0.95 (0.71,1.26);0.708 (66.569);1.01 (0.7,1.46);0.957 (90.004);0.9 (0.44,1.87);0.787 (73.95);;80 (2.45%);46 (2.4%)
74;ANTHELMINTICS;['P02'];1.08 (0.79,1.48);0.634 (59.598);1.08 (0.65,1.79);0.776 (72.985);<0.001 (<0.001,<0.001);<0.001 (<0.001);;43 (1.32%);23 (1.2%)
75;ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS;['P03'];1.0 (0.56,1.79);0.991 (93.139);<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);;5 (0.15%);3 (0.16%)
76;NASAL PREPARATIONS;['R01'];1.05 (0.98,1.13);0.144 (13.529);1.21 (1.08,1.36);0.001 (0.089);1.02 (0.8,1.3);0.876 (82.316);;1533 (46.98%);808 (42.11%)
77;THROAT PREPARATIONS;['R02'];1.31 (1.2,1.43);<0.001 (<0.001);1.39 (1.22,1.58);<0.001 (<0.001);1.38 (1.08,1.77);0.01 (0.943);;1024 (31.38%);473 (24.65%)
78;DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;['R03'];0.83 (0.76,0.9);<0.001 (0.001);0.99 (0.87,1.14);0.919 (86.363);0.9 (0.68,1.2);0.483 (45.429);;717 (21.97%);423 (22.04%)
79;COUGH AND COLD PREPARATIONS;['R05'];1.06 (0.99,1.13);0.123 (11.577);1.26 (1.12,1.41);<0.001 (0.007);1.06 (0.83,1.35);0.639 (60.067);;1794 (54.98%);943 (49.14%)
80;ANTIHISTAMINES FOR SYSTEMIC USE;['R06'];1.01 (0.94,1.09);0.823 (77.349);1.13 (1.0,1.27);0.049 (4.644);1.13 (0.88,1.45);0.349 (32.772);;1100 (33.71%);594 (30.95%)
81;OTHER RESPIRATORY SYSTEM PRODUCTS;['R07'];1.27 (1.0,1.62);0.052 (4.843);1.18 (0.86,1.61);0.313 (29.385);0.96 (0.58,1.59);0.874 (82.148);;121 (3.71%);61 (3.18%)
82;OPHTHALMOLOGICALS;['S01'];0.96 (0.89,1.04);0.297 (27.91);1.05 (0.92,1.21);0.476 (44.707);1.13 (0.84,1.53);0.417 (39.22);;724 (22.19%);410 (21.37%)
83;OTOLOGICALS;['S02'];0.98 (0.87,1.11);0.762 (71.66);0.96 (0.79,1.17);0.714 (67.091);0.9 (0.62,1.33);0.606 (56.969);;302 (9.26%);182 (9.48%)
84;OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS;['S03'];<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);;0 (0.0%);0 (0.0%)
85;ALLERGENS;['V01'];<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);;0 (0.0%);0 (0.0%)
86;ALL OTHER THERAPEUTIC PRODUCTS;['V03'];1.0 (0.89,1.12);0.934 (87.755);1.09 (0.89,1.32);0.397 (37.353);1.1 (0.73,1.66);0.653 (61.378);;313 (9.59%);170 (8.86%)
87;DIAGNOSTIC AGENTS;['V04'];0.98 (0.64,1.51);0.935 (87.85);0.57 (0.26,1.23);0.151 (14.194);<0.001 (<0.001,<0.001);<0.001 (<0.001);;13 (0.4%);13 (0.68%)
88;GENERAL NUTRIENTS;['V06'];3.21 (1.75,5.89);<0.001 (0.015);<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);;10 (0.31%);5 (0.26%)
89;ALL OTHER NON-THERAPEUTIC PRODUCTS;['V07'];<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);;5 (0.15%);2 (0.1%)
90;CONTRAST MEDIA;['V08'];1.23 (1.04,1.45);0.015 (1.421);0.9 (0.45,1.82);0.778 (73.11);<0.001 (<0.001,<0.001);<0.001 (<0.001);;20 (0.61%);13 (0.68%)
91;DIAGNOSTIC RADIOPHARMACEUTICALS;['V09'];<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);;0 (0.0%);0 (0.0%)
92;THERAPEUTIC RADIOPHARMACEUTICALS;['V10'];<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);;0 (0.0%);0 (0.0%)
93;SURGICAL DRESSINGS;['V20'];<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);;0 (0.0%);0 (0.0%)
