code;medoc;coef_5_10;std_5_10;odd_ratio_1;corr_or_ci_inf_1;corr_or_ci_sup_1;n_5_10_FR;n_5_10_FR_cont;n_brut_5_10_FR;n_brut_5_10_FR_cont
M09;AUTRES MEDICAMENTS DES DESORDRES MUSCULOSQUELETTIQUES;0.099689226;0.042993736;1.1;0.96;1.28;3.38;3.04;1180;1062
C04;VASODILATATEURS PERIPHERIQUES;-0.04720726;0.04157094;0.95;0.83;1.1;3.37;3.49;1177;1221
P02;ANTHELMINTHIQUES;0.032005061;0.042787835;1.03;0.89;1.19;3.3;3.17;1152;1107
V04;MEDICAMENTS POUR DIAGNOSTIC;0.124432673;0.053369904;1.13;0.95;1.35;2.19;1.93;767;673
L01;ANTINEOPLASIQUES;-0.016052222;0.052847396;0.98;0.82;1.18;2.09;2.1;729;734
A05;THERAPEUTIQUE HEPATIQUE ET BILIAIRE;0.077934832;0.060866535;1.08;0.88;1.33;1.64;1.5;573;526
B02;ANTIHEMMORRAGIQUES;0.012488791;0.059884531;1.01;0.83;1.24;1.64;1.6;573;561
L02;THERAPEUTIQUE ENDOCRINE;-0.149042666;0.059255202;0.86;0.71;1.05;1.55;1.78;542;622
M05;MEDICAMENTS POUR LE TRAITEMENT DES DESORDRES OSSEUX;0.068477932;0.064747802;1.07;0.86;1.33;1.44;1.33;503;466
H04;HORMONES PANCREATIQUES;0.103631214;0.06857225;1.11;0.88;1.4;1.3;1.17;456;408
G03;HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE;0.117766994;0.072019167;1.12;0.88;1.43;1.19;1.05;416;367
