code;medoc;coef_5_10;std_5_10;odd_ratio_1;corr_or_ci_inf_1;corr_or_ci_sup_1;n_5_10_FR;n_5_10_FR_cont;n_brut_5_10_FR;n_brut_5_10_FR_cont
A05;THERAPEUTIQUE HEPATIQUE ET BILIAIRE;0.0859204700159314;0.0421311380070291;1.09;0.95;1.26;1.98;1.82;1204;1098
R05;MEDICAMENTS DU RHUME ET DE LA TOUX;0.075015682219963;0.0115212410301103;1.08;1.04;1.12;48.29;46.42;29314;27958
A12;SUPPLEMENTS MINERAUX;0.0731310987449892;0.0143799662147442;1.08;1.02;1.13;20.6;19.43;12505;11702
B02;ANTIHEMMORRAGIQUES;0.0753334095082307;0.041269839736942;1.08;0.94;1.24;2.06;1.91;1249;1151
H02;CORTICOIDES A USAGE SYSTEMIQUE;0.0709692468255982;0.0115129593263109;1.07;1.03;1.12;52.76;50.99;32024;30706
V03;TOUS AUTRES MEDICAMENTS;0.0695107793536595;0.0205300277452794;1.07;1;1.15;8.87;8.32;5383;5012
P01;ANTIPROTOZOAIRES;0.0698937114861671;0.0221429117166195;1.07;1;1.16;7.52;7.05;4565;4245
D05;MEDICAMENTS CONTRE LE PSORIASIS;0.0651301741545332;0.0327170123151482;1.07;0.96;1.19;3.3;3.1;2001;1864
C07;BETABLOQUANTS;0.051147161389747;0.0131706954214656;1.05;1.01;1.1;26.15;25.17;15872;15160
S02;MEDICAMENTS OTOLOGIQUES;0.0464770464740097;0.0160860923194217;1.05;0.99;1.11;15.35;14.76;9319;8888
P02;ANTHELMINTHIQUES;0.0460333155234701;0.0311159838177611;1.05;0.94;1.16;3.62;3.47;2199;2087
G02;AUTRES MEDICAMENTS GYNECOLOGIQUES;0.0454852421534879;0.046263703123533;1.05;0.9;1.22;1.61;1.54;975;925
C10;AGENTS MODIFIANT LES LIPIDES;0.0374388577630003;0.0116932315486878;1.04;1;1.08;41.49;40.58;25182;24439
J05;ANTIVIRAUX A USAGE SYSTEMIQUE;0.0439490393647309;0.0209689832242107;1.04;0.97;1.12;8.36;8.03;5077;4838
H04;HORMONES PANCREATIQUES;0.0375936869898037;0.0551178341956479;1.04;0.86;1.25;1.12;1.08;681;651
B01;ANTITHROMBOTIQUES;0.0303966900692444;0.0117730963006362;1.03;0.99;1.07;39.72;39;24112;23486
B03;PREPARATIONS ANTIANEMIQUES;0.0271040256256869;0.0182507945406327;1.03;0.97;1.09;11.32;11.05;6870;6654
M09;AUTRES MEDICAMENTS DES DESORDRES MUSCULOSQUELETTIQUES;0.0292283097912458;0.0288481657950809;1.03;0.93;1.13;4.21;4.09;2553;2463
R03;MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES;0.0231580113315836;0.012741204271193;1.02;0.98;1.07;28.74;28.27;17444;17023
C02;ANTIHYPERTENSEURS;0.0154871611280008;0.0252038862204977;1.02;0.93;1.11;5.55;5.47;3370;3295
C04;VASODILATATEURS PERIPHERIQUES;0.0209857106667894;0.0311718276203205;1.02;0.92;1.13;3.57;3.49;2164;2104
C08;INHIBITEURS CALCIQUES;0.0111113397542966;0.014590075331148;1.01;0.96;1.06;19.33;19.16;11733;11537
H03;MEDICAMENTS DE LA THYROIDE;0.00760440740006951;0.0193753314372287;1.01;0.94;1.08;9.8;9.73;5948;5861
B05;SUBSTITUTS DU SANG ET SOLUTIONS DE PERFUSION;0.00230375023663362;0.018257788867958;1;0.94;1.07;11.18;11.16;6788;6721
C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;-0.0188708623157874;0.0117322109373608;0.98;0.94;1.02;39.94;40.4;24244;24327
L01;ANTINEOPLASIQUES;-0.0157243027473663;0.0413462679779855;0.98;0.86;1.13;1.96;1.99;1189;1198
C03;DIURETIQUES;-0.0384139206762382;0.0155462984804451;0.96;0.91;1.01;16.11;16.63;9776;10016
A10;MEDICAMENTS DU DIABETE;-0.0410613625347964;0.0165862924549915;0.96;0.91;1.01;13.74;14.23;8337;8569
M04;ANTIGOUTTEUX;-0.0819060980691341;0.0186627285579157;0.92;0.87;0.98;10.25;11.03;6222;6642
L02;THERAPEUTIQUE ENDOCRINE;-0.0838147035763584;0.0399576619697406;0.92;0.8;1.05;2.03;2.21;1234;1329
